Price,Adj Close,Close,High,Low,Open,Volume
Ticker,7203.T,7203.T,7203.T,7203.T,7203.T,7203.T
Date,,,,,,
2023-09-01,2426.75732421875,2519.5,2525.0,2483.0,2485.0,23445600
2023-09-04,2501.88623046875,2597.5,2599.5,2539.0,2540.0,33250800
2023-09-05,2493.698974609375,2589.0,2609.5,2564.0,2600.0,28061100
2023-09-06,2553.416748046875,2651.0,2664.0,2605.5,2607.0,31630100
2023-09-07,2539.932373046875,2637.0,2671.5,2633.0,2657.0,26184700
2023-09-08,2507.18359375,2603.0,2645.5,2598.0,2611.0,30458600
2023-09-11,2499.478271484375,2595.0,2618.0,2586.0,2610.5,16439600
2023-09-12,2559.196044921875,2657.0,2660.0,2619.0,2624.0,21560000
2023-09-13,2607.837158203125,2707.5,2715.0,2651.0,2657.0,29244700
2023-09-14,2646.84619140625,2748.0,2757.0,2694.0,2715.5,31358600
2023-09-15,2717.640625,2821.5,2842.0,2780.5,2788.0,49241800
2023-09-19,2773.9873046875,2880.0,2885.5,2798.0,2806.5,40156000
2023-09-20,2695.96875,2799.0,2911.5,2797.0,2900.0,42976800
2023-09-21,2682.9658203125,2785.5,2835.0,2775.0,2799.0,25747000
2023-09-22,2685.85546875,2788.5,2811.0,2735.0,2749.5,28714900
2023-09-25,2659.849365234375,2761.5,2789.0,2740.5,2785.0,21522300
2023-09-26,2616.505859375,2716.5,2766.5,2707.5,2765.0,26603400
2023-09-27,2646.84619140625,2748.0,2751.5,2677.0,2700.0,31403100
2023-09-28,2635.160400390625,2706.0,2746.5,2678.0,2720.0,32137100
2023-09-29,2607.40625,2677.5,2727.5,2675.5,2718.0,33276200
2023-10-02,2616.65771484375,2687.0,2746.5,2683.5,2700.5,28738800
2023-10-03,2536.804443359375,2605.0,2687.0,2593.0,2680.0,31775900
2023-10-04,2412.64208984375,2477.5,2563.0,2471.0,2555.0,46063800
2023-10-05,2522.197021484375,2590.0,2590.0,2505.5,2528.0,41463500
2023-10-06,2504.668212890625,2572.0,2604.0,2536.0,2564.5,28521800
2023-10-10,2555.7939453125,2624.5,2640.5,2595.0,2600.0,27455800
2023-10-11,2581.60009765625,2651.0,2681.0,2640.0,2650.0,23177900
2023-10-12,2668.270263671875,2740.0,2740.0,2673.0,2678.0,32321600
2023-10-13,2617.14453125,2687.5,2726.0,2677.0,2708.0,24757200
2023-10-16,2590.36474609375,2660.0,2665.0,2630.5,2650.0,19258100
2023-10-17,2610.814697265625,2681.0,2719.0,2653.0,2705.0,22766500
2023-10-18,2599.12890625,2669.0,2697.0,2661.0,2675.0,18891100
2023-10-19,2575.75732421875,2645.0,2667.0,2623.0,2625.0,18842300
2023-10-20,2548.490234375,2617.0,2642.0,2575.0,2600.5,23366400
2023-10-23,2541.67333984375,2610.0,2631.0,2585.5,2600.0,17852100
2023-10-24,2529.500732421875,2597.5,2648.5,2544.0,2645.0,26740000
2023-10-25,2570.887939453125,2640.0,2664.0,2613.5,2631.0,18828500
2023-10-26,2526.579345703125,2594.5,2628.0,2571.0,2617.5,22969100
2023-10-27,2569.427490234375,2638.5,2644.0,2594.5,2595.0,20775500
2023-10-30,2506.615966796875,2574.0,2595.0,2560.5,2593.0,28552500
2023-10-31,2522.197021484375,2590.0,2593.0,2526.0,2590.0,32184100
2023-11-01,2641.003173828125,2712.0,2752.0,2678.5,2703.5,66935200
2023-11-02,2687.746826171875,2760.0,2846.5,2746.5,2812.0,62211400
2023-11-06,2771.495361328125,2846.0,2866.5,2823.5,2840.0,48988800
2023-11-07,2757.86181640625,2832.0,2854.0,2818.5,2850.0,27050700
2023-11-08,2684.8251953125,2757.0,2879.5,2757.0,2861.5,32626900
2023-11-09,2743.741455078125,2817.5,2819.0,2752.0,2795.0,23116200
2023-11-10,2729.62109375,2803.0,2815.0,2770.0,2770.5,23638200
2023-11-13,2743.25439453125,2817.0,2845.5,2807.5,2833.0,19390400
2023-11-14,2769.060791015625,2843.5,2866.5,2837.5,2845.0,25175900
2023-11-15,2785.12890625,2860.0,2898.5,2860.0,2880.5,29788400
2023-11-16,2803.63134765625,2879.0,2897.5,2858.0,2860.0,21411300
2023-11-17,2816.778076171875,2892.5,2892.5,2834.0,2840.0,24794700
2023-11-20,2707.22314453125,2780.0,2900.0,2768.5,2892.5,46342000
